question,option_a,option_b,option_c,option_d,correct_option,subject,difficulty
What is the binding energy of a nucleus if its mass defect is 0.1 atomic mass units? (1 amu = 931.5 MeV),93.15 J,93.15 MeV,931.5 MeV,0.1 MeV,B,Physics,Medium
What happens to the atomic number of an element during beta minus decay?,It decreases by 1,It remains unchanged,It increases by 1,It increases by 2,C,Physics,Medium
A bullet of mass 0.01 kg traveling at 400 m/s strikes a wooden block and stops in 0.1 m. What is the average force exerted by the block?,2000 N,400 N,800 N,8000 N,D,Physics,Medium
A 1000 kg satellite orbits Earth at a constant speed. Does gravity do work on the satellite?,"Yes, because it is moving","Yes, because there is a force","No, because gravity is zero in space","No, because the force is perpendicular to displacement",D,Physics,Medium
"If the momentum of an object is doubled, what happens to its kinetic energy?",It quadruples,It doubles,It remains the same,It increases by a factor of root 2,A,Physics,Medium
A uniform solid cylinder and a thin hoop of equal mass and radius roll down an incline. Which reaches the bottom first?,The hoop,The cylinder,They reach at the same time,It depends on the mass,B,Physics,Medium
Ice is melting into water at 0 degrees Celsius. What is happening to the temperature of the mixture?,It increases,It decreases,It remains constant,It fluctuates,C,Physics,Medium
A gas is compressed isothermally to half its original volume. What happens to its pressure?,It halves,It quadruples,It remains constant,It doubles,D,Physics,Medium
What is the equivalent capacitance of a 3 F and a 6 F capacitor connected in series?,2 F,9 F,18 F,0.5 F,A,Physics,Medium
An electron is placed in a uniform electric field of 100 N/C. What is the magnitude of its acceleration? (m = 9.11 x 10^-31 kg),1.76 x 10^13 m/s^2,1.76 x 10^15 m/s^2,1.6 x 10^-17 m/s^2,9.11 x 10^-29 m/s^2,B,Physics,Medium
A bar magnet is dropped completely through a horizontal coil of wire. What is the direction of the induced current?,It remains constant,It reverses direction as the magnet passes the center,It flows in only one direction,No current is induced,B,Physics,Medium
"A transformer has a turns ratio of 1:5. If the input current is 10 A, what is the output current? (Assume 100% efficiency)",50 A,10 A,2 A,5 A,C,Physics,Medium
A pendulum is taken from the Earth to the Moon. What happens to its period?,It decreases,It remains the same,It becomes zero,It increases,D,Physics,Medium
A police car with a siren moving away from a stationary observer at a constant speed causes the observer to hear?,A higher frequency than the source,A lower frequency than the source,The exact same frequency,A constantly changing frequency,B,Physics,Medium
"In an optical fiber, light is transmitted without leaking out through the sides. What is the primary phenomenon responsible?",Dispersion,Total internal reflection,Diffraction,Polarization,B,Physics,Medium
"For a convex lens, an object placed exactly at the focal point produces an image at?",The focal point,Infinity,Twice the focal length,The optical center,B,Physics,Medium
What principle explains the alternating bright and dark bands in Young's double slit experiment?,Polarization,Interference,Dispersion,Refraction,B,Physics,Medium
"According to the de Broglie hypothesis, what is the wavelength of a particle directly proportional to?",Its energy,Its velocity,The inverse of its momentum,Its mass,C,Physics,Medium
Which of the following transitions in a hydrogen atom emits the shortest wavelength photon?,n=3 to n=2,n=4 to n=3,n=2 to n=1,n=5 to n=4,C,Physics,Medium
A sample of C-14 undergoes decay. Which interaction governs this beta decay process?,Strong nuclear force,Electromagnetic force,Weak nuclear force,Gravitational force,C,Physics,Medium
The resolving power of a telescope can be increased by?,Decreasing the focal length,Increasing the wavelength of light,Decreasing the diameter of the objective lens,Increasing the diameter of the objective lens,D,Physics,Medium
What is the equivalent resistance of three 3-ohm resistors connected in a triangle?,2 ohms,3 ohms,4.5 ohms,9 ohms,A,Physics,Medium
A 100 kg car accelerates at 3 m/s^2. Air resistance is 200 N. What is the force applied by the engine?,300 N,500 N,100 N,600 N,B,Physics,Medium
"If the Earth's radius were to shrink by half while its mass remained constant, what would the new acceleration due to gravity be?",9.8 m/s^2,19.6 m/s^2,39.2 m/s^2,4.9 m/s^2,C,Physics,Medium
The escape velocity from a planet is v. What is the escape velocity from a planet with 4 times the mass and the same radius?,v,4v,v/2,2v,D,Physics,Medium
A wire experiences a strain of 0.01 when a stress of 10^8 Pa is applied. What is its Young's modulus?,10^10 Pa,10^6 Pa,10^12 Pa,10^8 Pa,A,Physics,Medium
"A fluid flows through a pipe. If the diameter is halved, by what factor does the fluid velocity change?",It doubles,It halves,It increases by a factor of 4,It decreases by a factor of 4,C,Physics,Medium
"If the absolute temperature of a black body is doubled, its total emitted radiation power increases by a factor of?",2,4,8,16,D,Physics,Medium
What happens to the internal energy of an ideal gas during an isothermal expansion?,It increases,It decreases,It remains constant,It depends on the volume,C,Physics,Medium
A Gaussian surface encloses a net charge of zero. What can be said about the electric field on the surface?,It must be zero everywhere,It is uniform,The net electric flux through the surface is zero,It points inward,C,Physics,Medium
A 12 V battery with an internal resistance of 1 ohm is connected to a 5 ohm resistor. What is the terminal voltage?,10 V,12 V,6 V,14 V,A,Physics,Medium
"In a mass spectrometer, a charged particle moves in a circular path in a magnetic field. If its mass is doubled, the radius of the path?",Halves,Doubles,Stays the same,Quadruples,B,Physics,Medium
What is the phase difference between current and voltage in a purely inductive AC circuit?,Voltage lags current by 90 degrees,Voltage and current are in phase,Voltage leads current by 90 degrees,Voltage leads current by 45 degrees,C,Physics,Medium
The speed of light in a certain glass is 2 x 10^8 m/s. What is the refractive index of the glass?,1.0,1.33,2.0,1.5,D,Physics,Medium
What phenomenon restricts light waves to vibrate in only one specific plane?,Polarization,Diffraction,Interference,Dispersion,A,Physics,Medium
"According to Heisenberg's Uncertainty Principle, it is impossible to simultaneously measure with infinite precision a particle's?",Energy and mass,Position and momentum,Velocity and acceleration,Charge and spin,B,Physics,Medium
A photon collides with a free electron and scatters. What happens to the photon's wavelength?,It decreases,It remains the same,It increases,It becomes zero,C,Physics,Medium
A heat engine does 300 J of work and exhausts 700 J of heat to a cold reservoir. What is its efficiency?,30%,42%,70%,100%,A,Physics,Medium
"Two conducting spheres of radii R and 2R are connected by a wire. If they are given a net charge, which holds more charge?",The sphere of radius R,The sphere of radius 2R,They hold equal charges,The wire holds all the charge,B,Physics,Medium
"If a sound source moves toward an observer at the speed of sound, what frequency does the observer hear?",Half the original frequency,Double the original frequency,Zero,Infinity (a sonic boom),D,Physics,Medium
What is the SI unit of magnetic flux?,Tesla,Gauss,Weber,Henry,C,Physics,Medium
An alternating current has a peak value of 10 A. What is its RMS value?,10 A,5 A,7.07 A,14.1 A,C,Physics,Medium
Which process is primarily responsible for the continuous spectrum of X-rays produced in an X-ray tube?,Characteristic emission,Radioactive decay,Bremsstrahlung,Compton scattering,C,Physics,Medium
A solid sphere and a hollow sphere of the same mass and radius are released from rest at the top of an incline. Which wins the race?,The hollow sphere,The solid sphere,They tie,Depends on the angle,B,Physics,Medium
A spring of constant k is cut in half. What is the spring constant of each new piece?,k/2,k,2k,4k,C,Physics,Medium
"In a transverse wave, what is the motion of the medium particles relative to the direction of wave travel?",Parallel,Anti-parallel,Circular,Perpendicular,D,Physics,Medium
"If the distance between two point charges is tripled, the electrostatic force between them is?",Reduced to one-third,Multiplied by three,Reduced to one-ninth,Multiplied by nine,C,Physics,Medium
"A pipe open at both ends has a fundamental frequency of 200 Hz. If one end is closed, what is the new fundamental frequency?",100 Hz,400 Hz,200 Hz,50 Hz,A,Physics,Medium
What phenomenon describes the induction of an electromotive force in a circuit due to a change in current in the same circuit?,Mutual induction,Self induction,Capacitance,Resonance,B,Physics,Medium
Two parallel wires carry current in the same direction. What is the magnetic force between them?,Zero,Repulsive,Attractive,Perpendicular to both,C,Physics,Medium
A light ray enters a glass block from air. Which property of the light wave remains unchanged?,Speed,Wavelength,Amplitude,Frequency,D,Physics,Medium
